ad_content_key,ad_content_name,creative_mapping
1,AcuityCrossixTargeting.Dermicool_SDP_DTP_TalkToYourDoctor.728,NULL
2,AcuityCrossixTargeting.Dermicool_SDP_DTP_Unbranded_Symptom.320,NULL
3,AcuityCrossixTargeting.SD_1624_v3_Symptom.320,NULL
4,AcuityCrossixTargeting.SD_1624_v3_Symptom.728,NULL
5,AcuityPropensityTargeting.Dermicool_SDP_DTP_Unbranded_Symptom.320,NULL
6,AptusDermicoolDistributionDTP.NU1825.320x50,NULL
7,AptusDermicoolDistributionDTP.NU1826.300x250,NULL
8,AptusDermicoolLTCDTP.NU1545.320x50,NULL
9,AptusDermicoolLTCDTP.NU1546.300x250,NULL
10,AptusDermicoolLTCDTP.NU1570.320x50,NULL
11,AptusDermicoolLTCHCP.NU1831.300x250,NULL
12,AptusDermicoolRetailDTP.NU1712.320x50,NULL
13,AptusDermicoolRetailDTP.NU1713.300x250,NULL
14,AptusDermicoolRetailDTP.NU1714.300x250,NULL
15,AptusDermicoolRetailDTP.NU1715.320x50,NULL
16,AptusDermicoolRetailDTP.NU1716.300x250,NULL
17,AudienceSDOnly.NU1559Branded.160,NULL
18,AudienceSDOnly.NU1559Branded.300,NULL
19,AudienceSDOnly.NU1559Branded.728,NULL
20,AudienceSDOnly.NU1623Unbranded50.160,NULL
21,AudienceSDOnly.NU1623Unbranded50.300,NULL
22,AudienceSDOnly.NU1623Unbranded50.728,NULL
23,AudienceSDOnly.NU1624UnbrandedSymp.160,NULL
24,AudienceSDOnly.NU1624UnbrandedSymp.300,NULL
25,AudienceSDOnly.NU1624UnbrandedSymp.320,NULL
26,AudienceSDOnly.NU1624UnbrandedSymp.728,NULL
27,AudienceSDOnly.NU2333SpeakUp.320,NULL
28,BSDermicool.NU1559Branded.160,NULL
29,BSDermicool.NU1559Branded.728,NULL
30,BSDermicoolParkinsonDisease.NU1559Branded.160,NULL
31,BSDermicoolParkinsonDisease.NU1559Branded.300,NULL
32,BSDermicoolParkinsonDisease.NU1559Branded.728,NULL
33,BSDermicoolQuetiapine.NU1559Branded.160,NULL
34,BSDermicoolQuetiapine.NU1559Branded.300,NULL
35,BSDermicoolQuetiapine.NU1559Branded.728,NULL
36,BSDermicoolSeroquel.NU1559Branded.300,NULL
37,BSDermicoolSeroquel.NU1559Branded.728,NULL
38,BSDermicoolSsias.NU1559Branded.160,NULL
39,BSDermicoolSsias.NU1559Branded.728,NULL
40,ConditionCenter.NU1559Branded.160,NULL
41,ConditionCenter.NU1559Branded.300,NULL
42,ConditionCenter.NU1559Branded.728,NULL
43,ConditionCenter.NU1623Unbranded50.160,NULL
44,ConditionCenter.NU1623Unbranded50.300,NULL
45,ConditionCenter.NU1623Unbranded50.728,NULL
46,ConditionCenter.NU1624UnbrandedSymp.160,NULL
47,ConditionCenter.NU1624UnbrandedSymp.300,NULL
48,ConditionCenter.NU1624UnbrandedSymp.320,NULL
49,ConditionCenter.NU1624UnbrandedSymp.728,NULL
50,DistributionDTC.NU1546.1,NULL
51,DistributionDTC.NU1570.1,NULL
52,DistributionDTC.NU1623Unbranded50.300,NULL
53,DistributionDTC.NU1623Unbranded50.320,NULL
54,DistributionDTC.NU1624UnbrandedSymp.300,NULL
55,DistributionDTC.NU1624UnbrandedSymp.320,NULL
56,DistributionDTC.NU1715.1,NULL
57,FBNU1770.FBNU1770.1,NULL
58,FBNU1795.FBNU1795.1,NULL
59,FBNU1796.FBNU1796.1,NULL
60,GoodRxBPNuplazied.NU1559Branded.160,NULL
61,GoodRxBPNuplazied.NU1559Branded.728,NULL
62,GoodRxBPNuplaziedQuetiapine.NU1559Branded.160,NULL
63,HealthUnionConditionCenter.NU1623Unbranded50.160,NULL
64,HealthUnionConditionCenter.NU1624UnbrandedSymp.300,NULL
65,HealthUnionPremiumDisplay.SD_1624_v3_Symptom.300,NULL
66,HealthUnionSDDisplay.NU1623Unbranded50.300,NULL
67,HealthUnionSDDisplay.NU1624UnbrandedSymp.160,NULL
68,HealthlineContentCenter.SD_1624_v3_Symptom.300,NULL
69,HealthlineContextualTargeting.Dermicool_SDP_DTP_TalkToYourDoctor.300,NULL
70,HealthlineContextualTargeting.Dermicool_SDP_DTP_Unbranded_50Messaging.300,NULL
71,MTPSiteRT.NU1559Branded.160,NULL
72,MTPSiteRT.NU1559Branded.300,NULL
73,MTPSiteRT.NU1559Branded.728,NULL
74,MedicxSDPCustomCaregiver.NU1559Branded.728,NULL
75,MedicxSDPCustomCaregiver.NU1624UnbrandedSymp.320,NULL
76,MedicxSDPCustomPatient.NU1559Branded.300,NULL
77,MiQCrossixTargeting.Dermicool_SDP_DTP_TalkToYourDoctor.300,NULL
78,MiQCrossixTargeting.Dermicool_SDP_DTP_TalkToYourDoctor.728,NULL
79,MiQCrossixTargeting.Dermicool_SDP_DTP_Unbranded_50Messaging.728,NULL
80,MiQCrossixTargeting.SD_1623_v3_50.728,NULL
81,MiQCrossixTargeting.SD_1624_v3_Symptom.728,NULL
82,MiQPredictTargeting.Dermicool_SDP_DTP_TalkToYourDoctor.728,NULL
83,MiQPredictTargeting.Dermicool_SDP_DTP_Unbranded_50Messaging.728,NULL
84,MiQPredictTargeting.Dermicool_SDP_DTP_Unbranded_Symptom.728,NULL
85,MiQSDPCrossixSegment.NU1623Unbranded50.300,NULL
86,MiQSDPCrossixSegment.NU1624UnbrandedSymp.160,NULL
87,MiQSDPCrossixSegment.NU1624UnbrandedSymp.300,NULL
88,MiQSDPCrossixSegment.NU1624UnbrandedSymp.320,NULL
89,N.comSiteRT.NU1559Branded.160,NULL
90,N.comSiteRT.NU1559Branded.300,NULL
91,N.comSiteRT.NU1559Branded.728,NULL
92,NU1795Crossix.NU1795.1,NULL
93,NUMonographAV.NU1559Branded.160,NULL
94,NUMonographAV.NU1559Branded.300,NULL
95,NUMonographAV.NU1559Branded.728,NULL
96,NUMonographAV.NU1623Unbranded50.160,NULL
97,NUMonographAV.NU1623Unbranded50.300,NULL
98,NUMonographAV.NU1623Unbranded50.728,NULL
99,NUMonographAV.NU1624UnbrandedSymp.300,NULL
100,NUMonographAV.NU1624UnbrandedSymp.728,NULL
101,PNT_ROS_Display.Dermicool_SDP_DTP_TalkToYourDoctor.300,NULL
102,PNT_ROS_Display.Dermicool_SDP_DTP_Unbranded_50Messaging.300,NULL
103,PNT_ROS_Display.SD_1624_v3_Symptom.300,NULL
104,ParkinsonNTROS.NU1559Branded.300,NULL
105,ParkinsonNTROS.NU1624UnbrandedSymp.300,NULL
106,PatientCaregiverLeadGen.LeadGen.1,NULL
107,PulsePointConditionPopulation.Dermicool_SDP_DTP_TalkToYourDoctor.300,NULL
108,PulsePointConditionPopulation.Dermicool_SDP_DTP_TalkToYourDoctor.728,NULL
109,PulsePointConditionPopulation.Dermicool_SDP_DTP_Unbranded_50Messaging.300,NULL
110,PulsePointConditionPopulation.Dermicool_SDP_DTP_Unbranded_Symptom.728,NULL
111,PulsePointConditionPopulation.SD_1623_v3_50.300,NULL
112,PulsePointConditionPopulation.SD_1624_v3_Symptom.300,NULL
113,PulsePointConditionPopulation.SD_1624_v3_Symptom.728,NULL
114,ROS.N,NULL
115,ROS.NU1559Branded.300,NULL
116,ROS.NU1559Branded.728,NULL
117,ROS.NU1623Unbranded50.300,NULL
118,ROS.NU1623Unbranded50.728,NULL
119,ROS.NU1624UnbrandedSymp.160,NULL
120,ROS.NU1624UnbrandedSymp.300,NULL
121,ROS.NU1624UnbrandedSymp.320,NULL
122,ROS.NU1624UnbrandedSymp.728,NULL
123,RotationalBannerSDConditionCenter.NU1559Branded.160,NULL
124,RotationalBannerSDConditionCenter.NU1559Branded.300,NULL
125,RotationalBannerSDConditionCenter.NU1559Branded.728,NULL
126,RotationalBannerSDConditionCenter.NU1623Unbranded50.160,NULL
127,RotationalBannerSDConditionCenter.NU1623Unbranded50.300,NULL
128,RotationalBannerSDConditionCenter.NU1623Unbranded50.728,NULL
129,RotationalBannerSDConditionCenter.NU1624UnbrandedSymp.160,NULL
130,RotationalBannerSDConditionCenter.NU1624UnbrandedSymp.300,NULL
131,RotationalBannerSDConditionCenter.NU1624UnbrandedSymp.320,NULL
132,RotationalBannerSDConditionCenter.NU1624UnbrandedSymp.728,NULL
133,RotationalBannerSDConditionCenter.NU2333SpeakUp.320,NULL
134,SDAPP.NU1559Branded.300,NULL
135,SDAPP.NU1559Branded.728,NULL
136,SDAPP.NU1623Unbranded50.300,NULL
137,SDAPP.NU1623Unbranded50.728,NULL
138,SDAPP.NU1624UnbrandedSymp.300,NULL
139,SDAPP.NU1624UnbrandedSymp.320,NULL
140,SDAPP.NU1624UnbrandedSymp.728,NULL
141,SDAPP.NU2333SpeakUp.320,NULL
142,SDAV.NU1559Branded.160,NULL
143,SDAV.NU1559Branded.300,NULL
144,SDAV.NU1559Branded.728,NULL
145,SDAV.NU1623Unbranded50.160,NULL
146,SDAV.NU1623Unbranded50.300,NULL
147,SDAV.NU1623Unbranded50.728,NULL
148,SDAV.NU1624UnbrandedSymp.160,NULL
149,SDAV.NU1624UnbrandedSymp.300,NULL
150,SDAV.NU1624UnbrandedSymp.320,NULL
151,SDAV.NU1624UnbrandedSymp.728,NULL
152,SDDisplay.NU1559Branded.160,NULL
153,SDDisplay.NU1559Branded.300,NULL
154,SDDisplay.NU1559Branded.728,NULL
155,SDDisplay.NU1623Unbranded50.300,NULL
156,SDDisplay.NU1623Unbranded50.728,NULL
157,SDDisplay.NU1624UnbrandedSymp.160,NULL
158,SDDisplay.NU1624UnbrandedSymp.300,NULL
159,SDDisplay.NU1624UnbrandedSymp.320,NULL
160,SDDisplay.NU1624UnbrandedSymp.728,NULL
161,SDDisplayAV.NU1559Branded.160,NULL
162,SDDisplayAV.NU1559Branded.300,NULL
163,SDDisplayAV.NU1559Branded.728,NULL
164,SDDisplayAV.NU1623Unbranded50.160,NULL
165,SDDisplayAV.NU1623Unbranded50.300,NULL
166,SDDisplayAV.NU1623Unbranded50.728,NULL
167,SDDisplayAV.NU1624UnbrandedSymp.160,NULL
168,SDDisplayAV.NU1624UnbrandedSymp.300,NULL
169,SDDisplayAV.NU1624UnbrandedSymp.320,NULL
170,SDDisplayAV.NU1624UnbrandedSymp.728,NULL
171,SDPConditionCenter.NU1559Branded.300,NULL
172,SDPConditionCenter.NU1559Branded.728,NULL
173,SDPConditionCenter.NU1623Unbranded50.300,NULL
174,SDPConditionCenter.NU1623Unbranded50.728,NULL
175,SDPConditionCenter.NU1624UnbrandedSymp.300,NULL
176,SDPConditionCenter.NU1624UnbrandedSymp.320,NULL
177,SDPConditionCenter.NU1624UnbrandedSymp.728,NULL
178,SDPCrossix.NU1559Branded.160,NULL
179,SDPCrossix.NU1559Branded.300,NULL
180,SDPCrossix.NU1559Branded.728,NULL
181,SDPCrossix.NU1623Unbranded50.160,NULL
182,SDPCrossix.NU1623Unbranded50.300,NULL
183,SDPCrossix.NU1623Unbranded50.728,NULL
184,SDPCrossix.NU1624UnbrandedSymp.160,NULL
185,SDPCrossix.NU1624UnbrandedSymp.300,NULL
186,SDPCrossix.NU1624UnbrandedSymp.320,NULL
187,SDPCrossix.NU1624UnbrandedSymp.728,NULL
188,SDPCrossix.NU2333SpeakUp.320,NULL
189,SDPCrossixSegment.NU1559Branded.160,NULL
190,SDPCrossixSegment.NU1559Branded.300,NULL
191,SDPCrossixSegment.NU1559Branded.728,NULL
192,SDPCrossixSegment.NU1623Unbranded50.160,NULL
193,SDPCrossixSegment.NU1623Unbranded50.300,NULL
194,SDPCrossixSegment.NU1623Unbranded50.728,NULL
195,SDPCrossixSegment.NU1624UnbrandedSymp.160,NULL
196,SDPCrossixSegment.NU1624UnbrandedSymp.300,NULL
