site_key,site_name,site_category
1,Adprime Media Inc,General
2,Adtheorent,General
3,Aptus Health,General
4,Emodo,General
5,Facebook,General
6,GoodRx ,General
7,Health Union,General
8,"Health Union, LLC",General
9,Healthline,General
10,Media IQ,General
11,Medicx,General
12,Medicx Media Solutions,General
13,"MyHealthTeams, Inc.",General
14,Remedy Health,General
15,"Remedy Health Media, LLC",General
16,Sharecare,General
17,Skin Disease News Today,News
18,Swoop,General
19,WebMD,General
20,Zeta Global,General
21,goodrx.com,General
