Source;Month of Year;Device Category;Ad Content;Sessions;Users;New Users;Pageviews;Session Duration;Calculated AToS
Acuity;202104;;AcuityCrossixTargeting.SD_1624_v3_Symptom.728;1;1;1;1,00;0,00;0:00:00
Acuity;202104;;AcuityPropensityTargeting.Dermicool_SDP_DTP_Unbranded_Symptom.320;1;1;1;1,00;0,00;0:00:00
Aptus;202104;;AptusDermicoolRetailDTP.NU1712.320x50;331;254;251;840,00;18129,00;5:02:09
Aptus;202104;;AptusDermicoolLTCDTP.NU1545.320x50;118;99;97;171,00;6001,00;1:40:01
Aptus;202104;;AptusDermicoolLTCDTP.NU1570.320x50;12;9;9;33,00;2623,00;0:43:43
Aptus;202104;;AptusDermicoolRetailDTP.NU1714.300x250;9;3;1;15,00;4010,00;1:06:50
Aptus;202104;;AptusDermicoolDistributionDTP.NU1825.320x50;5;2;0;5,00;0,00;0:00:00
Aptus;202104;;AptusDermicoolRetailDTP.NU1716.300x250;2;2;2;2,00;0,00;0:00:00
Aptus;202104;;AptusDermicoolLTCDTP.NU1546.300x250;1;1;1;1,00;0,00;0:00:00
Aptus;202104;;AptusDermicoolLTCHCP.NU1831.300x250;1;1;1;1,00;0,00;0:00:00
Facebook;202104;;FBNU1795.FBNU1795.1;1840;1767;1681;1960,00;18128,00;5:02:08
Facebook;202104;;FBNU1770.FBNU1770.1;883;842;819;941,00;12553,00;3:29:13
Facebook;202104;;FBNU1796.FBNU1796.1;142;132;118;163,00;1714,00;0:28:34
GoodRx;202104;;GoodRxBPNuplazied.NU1559Branded.728;5;5;5;9,00;3258,00;0:54:18
GoodRx;202104;;BSDermicool.NU1559Branded.160;4;1;0;5,00;1712,00;0:28:32
GoodRx;202104;;BSDermicoolQuetiapine.NU1559Branded.728;4;4;4;4,00;0,00;0:00:00
GoodRx;202104;;BSDermicoolParkinsonDisease.NU1559Branded.300;3;1;0;9,00;172,00;0:02:52
GoodRx;202104;;BSDermicoolQuetiapine.NU1559Branded.300;3;1;0;3,00;0,00;0:00:00
GoodRx;202104;;BSDermicool.NU1559Branded.728;2;2;2;4,00;159,00;0:02:39
GoodRx;202104;;BSDermicoolQuetiapine.NU1559Branded.160;2;2;2;2,00;0,00;0:00:00
GoodRx;202104;;GoodRxBPNuplazied.NU1559Branded.160;2;1;1;3,00;127,00;0:02:07
GoodRx;202104;;BSDermicoolParkinsonDisease.NU1559Branded.728;1;1;1;4,00;1868,00;0:31:08
GoodRx;202104;;GoodRxBPNuplaziedQuetiapine.NU1559Branded.160;1;1;1;1,00;0,00;0:00:00
Healthline;202104;;HealthlineContentCenter.SD_1624_v3_Symptom.300;1;1;1;1,00;0,00;0:00:00
HealthUnion;202104;;ConditionCenter.NU1559Branded.300;77;75;67;84,00;1051,00;0:17:31
HealthUnion;202104;;ConditionCenter.NU1623Unbranded50.300;28;26;25;37,00;3893,00;1:04:53
HealthUnion;202104;;SDDisplay.NU1623Unbranded50.300;20;17;15;28,00;2428,00;0:40:28
HealthUnion;202104;;ConditionCenter.NU1624UnbrandedSymp.300;19;19;16;23,00;859,00;0:14:19
HealthUnion;202104;;SDDisplay.NU1624UnbrandedSymp.300;18;17;14;20,00;506,00;0:08:26
HealthUnion;202104;;SDDisplay.NU1624UnbrandedSymp.320;6;6;5;20,00;2265,00;0:37:45
HealthUnion;202104;;ConditionCenter.NU1624UnbrandedSymp.728;5;5;5;6,00;204,00;0:03:24
HealthUnion;202104;;ConditionCenter.NU1623Unbranded50.160;4;4;3;8,00;1673,00;0:27:53
HealthUnion;202104;;ConditionCenter.NU1623Unbranded50.728;4;4;4;11,00;2835,00;0:47:15
HealthUnion;202104;;SDDisplayAV.NU1559Branded.300;3;3;3;8,00;370,00;0:06:10
HealthUnion;202104;;SDDisplayAV.NU1624UnbrandedSymp.300;3;3;3;6,00;110,00;0:01:50
HealthUnion;202104;;SDDisplay.NU1559Branded.160;2;2;1;2,00;1447,00;0:24:07
HealthUnion;202104;;SDDisplay.NU1559Branded.728;2;2;1;3,00;377,00;0:06:17
HealthUnion;202104;;ConditionCenter.NU1559Branded.728;1;1;1;1,00;0,00;0:00:00
HealthUnion;202104;;ConditionCenter.NU1624UnbrandedSymp.320;1;1;1;1,00;0,00;0:00:00
HealthUnion;202104;;HealthUnionConditionCenter.NU1624UnbrandedSymp.300;1;1;0;3,00;178,00;0:02:58
HealthUnion;202104;;SDDisplayAV.NU1623Unbranded50.160;1;1;1;1,00;0,00;0:00:00
HealthUnion;202104;;SDDisplayAV.NU1624UnbrandedSymp.320;1;1;1;1,00;0,00;0:00:00
