Campaign;Month;Site (Site Directory);Placement - DCM;Creative;Creative Dimensions;Platform Type;Impressions;Clicks
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Health Union;SD.net Condition Center Sponsorship;SD_1623_v3_50;160x600;;494;8
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Health Union;SD.net Condition Center Sponsorship;SD_1623_v3_50;300x250;;5499;81
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Health Union;SD.net Condition Center Sponsorship;SD_1623_v3_50;728x90;;833;2
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Health Union;SD.net Condition Center Sponsorship;SD_1624_v3_Symptom;160x600;;424;4
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Health Union;SD.net Condition Center Sponsorship;SD_1624_v3_Symptom;300x250;;5431;73
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Health Union;SD.net Condition Center Sponsorship;SD_1624_v3_Symptom;320x50;;4348;8
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Health Union;SD.net Condition Center Sponsorship;SD_1624_v3_Symptom;728x90;;819;1
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Health Union;SD.net Condition Center Sponsorship;Dermicool_SDP_DTP_TalkToYourDoctor;160x600;;1308;2
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Health Union;SD.net Condition Center Sponsorship;Dermicool_SDP_DTP_TalkToYourDoctor;300x250;;15951;86
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Health Union;SD.net Condition Center Sponsorship;Dermicool_SDP_DTP_TalkToYourDoctor;728x90;;2369;4
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Health Union;SD.net Premium Display;SD_1623_v3_50;160x600;;166;1
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Health Union;SD.net Premium Display;SD_1623_v3_50;300x250;;1459;12
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Health Union;SD.net Premium Display;SD_1623_v3_50;728x90;;323;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Health Union;SD.net Premium Display;SD_1624_v3_Symptom;160x600;;169;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Health Union;SD.net Premium Display;SD_1624_v3_Symptom;300x250;;1382;14
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Health Union;SD.net Premium Display;SD_1624_v3_Symptom;320x50;;1005;2
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Health Union;SD.net Premium Display;SD_1624_v3_Symptom;728x90;;291;1
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Health Union;SD.net Premium Display;Dermicool_SDP_DTP_TalkToYourDoctor;160x600;;900;2
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Health Union;SD.net Premium Display;Dermicool_SDP_DTP_TalkToYourDoctor;300x250;;6423;27
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Health Union;SD.net Premium Display;Dermicool_SDP_DTP_TalkToYourDoctor;728x90;;1743;1
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Health Union;SD.net Premium Display AV;SD_1623_v3_50;160x600;;103;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Health Union;SD.net Premium Display AV;SD_1623_v3_50;300x250;;970;6
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Health Union;SD.net Premium Display AV;SD_1623_v3_50;728x90;;193;1
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Health Union;SD.net Premium Display AV;SD_1624_v3_Symptom;160x600;;104;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Health Union;SD.net Premium Display AV;SD_1624_v3_Symptom;300x250;;945;7
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Health Union;SD.net Premium Display AV;SD_1624_v3_Symptom;320x50;;710;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Health Union;SD.net Premium Display AV;SD_1624_v3_Symptom;728x90;;164;2
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Health Union;SD.net Premium Display AV;Dermicool_SDP_DTP_TalkToYourDoctor;160x600;;117;0
