Table,Column,Data_Type,Description,Primary_Key,Foreign_Key,Nullable,Default_Value,Validation_Rules,Business_Rules
Date_Dimension,date_key,INTEGER,Unique identifier for date records,TRUE,FALSE,FALSE,,,Surrogate key for date dimension
Date_Dimension,date,DATE,Full date value,FALSE,FALSE,FALSE,,,Standard date format YYYY-MM-DD
Date_Dimension,day_of_week,INTEGER,Day of week (1=Monday, 7=Sunday),FALSE,FALSE,FALSE,,1-7,ISO standard day numbering
Date_Dimension,day_of_month,INTEGER,Day of month (1-31),FALSE,FALSE,FALSE,,1-31,Calendar day
Date_Dimension,month,INTEGER,Month number (1-12),FALSE,FALSE,FALSE,,1-12,Calendar month
Date_Dimension,quarter,INTEGER,Quarter number (1-4),FALSE,FALSE,FALSE,,1-4,Calendar quarter
Date_Dimension,year,INTEGER,Year value,FALSE,FALSE,FALSE,,,Four digit year
Date_Dimension,fiscal_year,INTEGER,Fiscal year value,FALSE,FALSE,FALSE,,,Fiscal year calculation
Date_Dimension,is_weekend,BOOLEAN,Weekend flag,FALSE,FALSE,FALSE,FALSE,TRUE/FALSE,Weekend indicator
Date_Dimension,is_holiday,BOOLEAN,Holiday flag,FALSE,FALSE,FALSE,FALSE,TRUE/FALSE,Holiday indicator
Site_Dimension,site_key,INTEGER,Unique identifier for site records,TRUE,FALSE,FALSE,,,Surrogate key for site dimension
Site_Dimension,site_id,VARCHAR(50),Business identifier for site,FALSE,FALSE,FALSE,,,Unique business key
Site_Dimension,site_name,VARCHAR(100),Site display name,FALSE,FALSE,FALSE,,,Human readable site name
Site_Dimension,site_category,VARCHAR(50),Site category classification,FALSE,FALSE,TRUE,,,Site categorization
Site_Dimension,site_quality_score,DECIMAL(3,2),Site quality rating,FALSE,FALSE,TRUE,,0.00-10.00,Quality score range
Site_Dimension,is_active,BOOLEAN,Active site flag,FALSE,FALSE,FALSE,TRUE,TRUE/FALSE,Active status
Site_Dimension,effective_date,DATE,Record effective start date,FALSE,FALSE,FALSE,,,SCD Type 2 effective date
Site_Dimension,expiration_date,DATE,Record expiration date,FALSE,FALSE,TRUE,,,SCD Type 2 expiration date
Site_Dimension,current_flag,CHAR(1),Current record indicator,FALSE,FALSE,FALSE,Y,Y/N,Current record flag
Creative_Dimension,creative_key,INTEGER,Unique identifier for creative records,TRUE,FALSE,FALSE,,,Surrogate key for creative dimension
Creative_Dimension,creative_id,VARCHAR(50),Business identifier for creative,FALSE,FALSE,FALSE,,,Unique business key
Creative_Dimension,creative_name,VARCHAR(100),Creative display name,FALSE,FALSE,FALSE,,,Human readable creative name
Creative_Dimension,creative_type,VARCHAR(50),Creative type classification,FALSE,FALSE,TRUE,,,Creative type categorization
Creative_Dimension,creative_size,VARCHAR(20),Creative size specification,FALSE,FALSE,TRUE,,,Standard ad sizes
Creative_Dimension,creative_format,VARCHAR(30),Creative format type,FALSE,FALSE,TRUE,,,Format classification
Creative_Dimension,creative_version,VARCHAR(10),Creative version number,FALSE,FALSE,TRUE,,,Version tracking
Creative_Dimension,effective_date,DATE,Record effective start date,FALSE,FALSE,FALSE,,,SCD Type 2 effective date
Creative_Dimension,expiration_date,DATE,Record expiration date,FALSE,FALSE,TRUE,,,SCD Type 2 expiration date
Creative_Dimension,current_flag,CHAR(1),Current record indicator,FALSE,FALSE,FALSE,Y,Y/N,Current record flag
Device_Dimension,device_key,INTEGER,Unique identifier for device records,TRUE,FALSE,FALSE,,,Surrogate key for device dimension
Device_Dimension,device_type,VARCHAR(30),Device type classification,FALSE,FALSE,FALSE,,,Device categorization
